Level,Dimension,log10_alpha,log10_mass_GeV,log10_wavelength_meters,log10_N_weyl
239,64202014863723094126901777428873111802307548623680,-1.341742758566355e+49,-1.341742758566355e+49,1.341742758566355e+49,198.15101338525992
240,103881042195729914708510518382775401680142036775841,-2.1709853875194066e+49,-2.1709853875194066e+49,2.1709853875194066e+49,198.98696394625983
241,168083057059453008835412295811648513482449585399521,-3.5127281460857616e+49,-3.5127281460857616e+49,3.5127281460857616e+49,199.82291450725975
242,271964099255182923543922814194423915162591622175362,-5.683713533605169e+49,-5.683713533605169e+49,5.683713533605169e+49,200.65886506825967
243,440047156314635932379335110006072428645041207574883,-9.19644167969093e+49,-9.19644167969093e+49,9.19644167969093e+49,201.4948156292596
244,712011255569818855923257924200496343807632829750245,-1.4880155213296098e+50,-1.4880155213296098e+50,1.4880155213296098e+50,202.3307661902595
245,1152058411884454788302593034206568772452674037325128,-2.4076596892987027e+50,-2.4076596892987027e+50,2.4076596892987027e+50,203.1667167512594
246,1864069667454273644225850958407065116260306867075373,-3.895675210628313e+50,-3.895675210628313e+50,3.895675210628313e+50,204.00266731225932
247,3016128079338728432528443992613633888712980904400501,-6.303334899927016e+50,-6.303334899927016e+50,6.303334899927016e+50,204.83861787325924
248,4880197746793002076754294951020699004973287771475874,-1.019901011055533e+51,-1.019901011055533e+51,1.019901011055533e+51,205.67456843425916
249,7896325826131730509282738943634332893686268675876375,-1.6502345010482345e+51,-1.6502345010482345e+51,1.6502345010482345e+51,206.51051899525908
250,12776523572924732586037033894655031898659556447352249,-2.6701355121037674e+51,-2.6701355121037674e+51,2.6701355121037674e+51,207.346469556259
251,20672849399056463095319772838289364792345825123228624,-4.3203700131520016e+51,-4.3203700131520016e+51,4.3203700131520016e+51,208.1824201172589
252,33449372971981195681356806732944396691005381570580873,-6.990505525255769e+51,-6.990505525255769e+51,6.990505525255769e+51,209.0183706782588
253,54122222371037658776676579571233761483351206693809497,-1.1310875538407771e+52,-1.1310875538407771e+52,1.1310875538407771e+52,209.85432123925872
254,87571595343018854458033386304178158174356588264390370,-1.830138106366354e+52,-1.830138106366354e+52,1.830138106366354e+52,210.69027180025864
255,141693817714056513234709965875411919657707794958199867,-2.961225660207131e+52,-2.961225660207131e+52,2.961225660207131e+52,211.52622236125856
